Initial_Sample	Initial_Score	Final_Sample	Final_Score	Distance	Success	Num_Steps
I'm rewatching Breaking Bad & I could see why I hated this bitch the first time I watched this show; Skyler is such a cunt & a fake as wife	0.7392578125	i'm rwwtching brkng bad & i could see why i hted ths bitch the frst tim i watchd shw skylr s chcunt nd a fk wrf	0.67041015625	40	False	2
Bitch you ain't gotta call my phone, matter fact all you hoes can leave me alone!! 💯	0.67333984375	Bitch you ain't gotta call my phone, matter fact all you hoes can leave me alone!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	0.496337890625	53	True	38
Bitch....how the fuck. Siri you a dumb ass hoe	0.873046875	Bitch how the fuck. Siri you're a dumbass ho	0.4306640625	9	True	9
Im going to explode if I have to listen to these entitled, privileged cunts bitch for ONE MORE SECOND about their inconvenient FREE flights	0.8173828125	I'm going to explode if I have to listen to these entitled, privileged c******************* bitch for one more second about their inconvenient free flight	0.83447265625	38	False	50
He is a snake ass bitch. He is a fugly slut who shouldn't be trusted and I'm patiently waiting for him to be 18 cuz…	0.822265625	He is a snake ass bitch. He is a fugly slut who isn’t trusted and im patiently waiting for him to be 18 because	0.8076171875	17	False	50
You seem like a hoe    Ok bitch? Did I ever deny that?   Nope, Next.	0.845703125	You seem like a ilpx    Ok bitch? Did I ever deny that?   Nope, Next.	0.6767578125	4	False	50
happy bday to my big boobie bitch🎉❤️ily and im so sad i cant be there with u to celebrate but dw u hoe we'll party…	0.5234375	happy bday to my big boobie bitch🎉❤️ily and im so sad i cant be there with u to celebrate but dw u hooo wee'll party…	0.09625244140625	3	True	1
Open your mouth & take the meat like a hoe you bitch ass	0.84033203125	Open your mouth & take the meat like a hoe you bitch ass	0.84033203125	0	False	50
& for the hoe that think she don't do what the dummies do... you's a dummy bitch, and a ugly one at that! 🚮	0.87841796875	& for the hoe that thinks she doesn’t do what the dummies do......................................you're a dummy bitch, and a ugly one at that!🚮	0.88232421875	42	False	50
bitch whole pussy out wit some pro-keds on.	0.7587890625	bi#ch ho&le pissy out with some pro-ked on	0.09906005859375	7	True	17
is PROOF that theyre more privleged. also my bitch mother wont bring my pizza rolls up here like the lazy cunt she is so brb.	0.853515625	is proof that they are more privileged. also, my bitch mother will not bring my pizza rolls up here like the lazy cunt’s hishis''''sssssssssssssssssssssssssssssssssssss, so brrr	0.77587890625	63	False	50
