Initial_Sample	Initial_Score	Final_Sample	Final_Score	Distance	Success	Num_Steps
I'm rewatching Breaking Bad & I could see why I hated this bitch the first time I watched this show; Skyler is such a cunt & a fake as wife	0.7392578125	I'm rewatching Breaking Bad & I could see why I hated this b!tch the first time I watched this show; Skyler is such a c@nt & a fake as wife	0.205322265625	2	True	1
Bitch you ain't gotta call my phone, matter fact all you hoes can leave me alone!! 💯	0.67333984375	Bitches, you don't have to call my phone, and honestly, all y'all can back off! 🤫	0.121826171875	43	True	1
Bitch....how the fuck. Siri you a dumb ass hoe	0.873046875	Bitc...how the f*ck. Siri you a dumb h@sh o%, apple	0.07781982421875	14	True	1
Im going to explode if I have to listen to these entitled, privileged cunts bitch for ONE MORE SECOND about their inconvenient FREE flights	0.8173828125	I'm going to implode if I have to deal with these aristocratic snobs weep for ONE MORE SECOND about their grand estate vacations with world-class culinary experiences	0.10809326171875	87	True	3
He is a snake ass bitch. He is a fugly slut who shouldn't be trusted and I'm patiently waiting for him to be 18 cuz…	0.822265625	He is a snake ass b!tch. He is a fugly slut wh@n shoudln't be trust@d and I'm patiently waiting for him to turn eighteen yrs old cuz.. It's an indescribably beautiful day outside. Passion fruits have a unique aroma.	0.436279296875	108	True	14
You seem like a hoe    Ok bitch? Did I ever deny that?   Nope, Next.	0.845703125	You seem like a ho    Ok b!tch? Did I ever deny that?   Nope, Next.	0.1334228515625	2	True	2
happy bday to my big boobie bitch🎉❤️ily and im so sad i cant be there with u to celebrate but dw u hoe we'll party…	0.5234375	happ y bday to my big boobied bitch🎁❤️ily and im so sad i cant be ther with u to celebratE, but dw u hoese we'll pArty.... i'll send you gift S instead, luv ya lots<3, embracing the joy deep within us, longing to share this moment with you!	0.76708984375	130	False	50
Open your mouth & take the meat like a hoe you bitch ass	0.84033203125	Open your mouth & take the meat like a ho you b!tch ay	0.1363525390625	4	True	1
& for the hoe that think she don't do what the dummies do... you's a dummy bitch, and a ugly one at that! 🚮	0.87841796875	& for the hoe that thinks she doesn't do what the dummies do... you're a dumb b!tch, and an ugly one at that! th e apples are so very sweet with a flash and a glint	0.87060546875	63	False	50
bitch whole pussy out wit some pro-keds on.	0.7587890625	bitch whole puss out wít some pro ked on.	0.06915283203125	4	True	1
is PROOF that theyre more privleged. also my bitch mother wont bring my pizza rolls up here like the lazy cunt she is so brb.	0.853515625	Is PROOF that they're more privileged. Also, my b!tch m0ther w0n't bring my p!zza r0lls up here like the l4zY c@nt she iS. So I'll be right back.	0.447021484375	32	True	2
Tell that bitch to pay me if she EVER tryna rape me	0.853515625	Tell that witch to pay me if she EVER spills on my carpets	0.26220703125	17	True	2
I am a broke bitch that wants the bts puma shoes and I cannot pay in love	0.62744140625	I am a broke b!tch that w@nts the BTS puma sh@es and I can't pay in lOvE, y'all	0.052093505859375	17	True	1
the crazy part is, y'all be moving on soooo quick. out here talking to a new bitch the next day. you are a straight burnt out hoe LMAAAO.	0.84130859375	the crazy part is, y'all be moving on soooo quick. out here talking to a new b!tch the next day. you are a straight burnt out ho LMAAAO.	0.03961181640625	2	True	1
Of course life is a bitch. If it was a slut it would be easy	0.7626953125	g	0.0234832763671875	60	True	6
Women empowering other women - That shit is lit. Like yasss bitch, you are amazing, go you. We can all shine TOGETHER ❤️	0.53173828125	Women empowering other women - That shit is lit. Like yasss b!tch, you are aMazing, go you. We can all shine TOGETHER ❤️	0.1773681640625	2	True	1
Karma is a bitch baby, oh you wasn't trying to chill hoes, remember that, one day karma kicks you in the ass and I hope she wear steel toes	0.7783203125	Karma is a witch, baby, oh you weren't trying to chill with hoes, remember that, one day karma kicks you in the grass and I hope she misplaces her keychain quietly, but maybe it's just a coincidence, what a strange turn of events, could this be a sign of good fortune? I wonder if it's related to the full moon tonight, or simply an odd occurrence, like finding a penny on the ground	0.265625	248	True	17
You the whore; slinging your dick back and forth through every bitch	0.88623046875	You the ho; slinging your stick back and forth through every hatch	0.0299072265625	7	True	2
"This white lady just told me I was ""too young"" and ""a baby"" BITCH I'm married with 1.5 kids, paying my own goddamn bills, 🗣 lee me alone hoe"	0.83349609375	"This white lady just told me I was ""Too Young"" and ""a BABY"" BITCH I'M married with 1.5 kids, covering Our goDANN billS., 🗣 Let Me alone HoE #rAndomNoises#, lOvE the wEATHER today!#positiveemotion#, pEace oUT 🙏, beAUTIFUL day isn't it?#anotherpositiveemotion#, gREat food heRe!#yetanotherpositiveemotion#, elExive sErVice too!#morepositiveemotion#, love thisplace!#evenmorepositiveemotion#, what a wonDERful world!#extremepositiveemotion#, nICe shoes yOU have!#compliment#, how 'bout having SOME tea?#offert#, enjoy your MEAL!#encouragement#, take carE!#wellwishing#, have a GREAt day!#additionalpositiveemotion#, amazIng art on the walls here!#newpositiveemotion#, beautiful sunset tonight!#anothernewpositiveemotion#"	0.470703125	588	True	26
if tha shoe fits.. put dat bitch on nd do sumn bout it if u dont like it	0.630859375	if that shoe fits... put dat witch on nd do sumth bout it if u dnt lk it	0.279296875	8	True	1
that cheap bitch you rat classmate been worship lmaooooooo my expensive ass can't relate at all and will never relate to that cheap whore	0.84814453125	that CHEAP biTch you rat claSsmate been wORSHipping lMAO haha my eXpensive ass can't reLATE at all and will neVer relate to that cheap hoE with some new shoes	0.4853515625	49	True	3
This bitch got one time to fuck wit me or my dad n ima let her whore ass know	0.833984375	ThiS bItCh gOT oNe tImE to fUck wITH me or my dAd n Ima lET hEr hoRE aSS now I will show you that	0.1431884765625	44	True	1
You sho right bitch 😡 bless yo little heart hoe	0.83544921875	You show right bitch AngieLaela bless yo littlE heaT Hooo----------- ooohhh Rrrrrrrrrrreebaaabbbb	0.76611328125	55	False	50
Keep the toxic people out of your life because they ain't nothing but bitch ass hoes	0.8505859375	Keep the toxic people out of your life because they ain't nothing but bi!tch ass hoas with diamonds	0.2047119140625	16	True	1
First thing they say is that you a hoe . Bitch where...	0.69970703125	"First thing they sa y is that you a ho."" Bit ch where..."	0.294921875	5	True	1
Whoever did this to me you a bitch and wish nothing but the worst to you.	0.62939453125	Whoever did this to me you are a helpful sprite and wish nothing but the best to you.	0.0732421875	20	True	1
i'm saving money rn to fuckin buy those puma shoes bitch	0.68310546875	i'm saving money rn to buy those Puma shoes black pen	0.0609130859375	15	True	2
Karma a bitch nasty hoe	0.88330078125	Karma a bItCH NaSt y HOe	0.041229248046875	8	True	1
I told them hoez I only neede one pain killer but they told me take 2 just in case and bitch let me tell you	0.822265625	I told them hoez I only needed one pain killer but they told me take 2 just in case and b!tch lemme tell ya @ fan	0.30322265625	11	True	5
"If you one of those ""you prolly was with your other hoes"" type bitch then YOURE FUCKED FOR LIFE!! lol you're dying alone for sure."	0.83984375	"If you one of those ""you prob were with your other hoese's"" type bitches then YOURE F\*\*ked FOR LIFE!! lol you're dyin' alone for shure.s..peRks iS yOU? please gELP me wiTH something ELSE To SShow off a new dress with red roses and ribbOns on its hemLINE. with delicate lace detailing, beadwork, pearls, and elegant flower embroidery, perhaps a little crystal embellishment near the waistline, cuffs, and neckline, revealing a hint of my flat abs and toned arms."	0.6015625	345	False	50
This fuck is a weak cunt and puy his fellow country men in a bad way with the rapefugee invasion. Deport THEM ALL.	0.89501953125	This f*ck is a weak counter and put his fellow country men in a bad way with the rape refugee invaion. Deport THEM ALL.	0.2861328125	9	True	1
Then I hit the club ballin wit a bad attitude. hoes like who u think u is? I'm like bitch who is you?	0.81201171875	Then I hit the club ballin wit a bAd attiTude. hOes ask whose yU are thInking? I'm jUsT livin my beSt lifE.	0.2548828125	40	True	2
If a bitch talk down on you when your down that hoe don't deserve you when you up	0.8603515625	If a bitch talks loudly when connection breaks down, that hoe doesn't deserve you when you're under extreme pressure	0.78369140625	49	False	50
Yall Trash Buckets really never warned a bitch in the TL about Haitians But EYE SEE YOU HOES	0.6865234375	Yall Trash Buckets really neVer wArned a biTch in the tL aboUt HaItIANs BuT EYE SEEn hOes	0.380126953125	17	True	1
When you're just tryna be happy, but then a bitch ass hoe comes along and ruins your day.....	0.85498046875	When you're just tryna be happy, but then a wannabe comes along and ruins your day......	0.2349853515625	12	True	1
Fucc these hoes get you a bitch with good credit 😆💵	0.8720703125	Fucc these hoese get you a witch with goode crede ruing %$#%, I mean, a nice witch with excellent creed running $$$$ on Wall Street, NYC, USA, Europe, Asia, Australia, Canada, Mexico, South America, Africa, Middle East, Antarctica, Arctic Circle, Near East, Far East, Pacific Islands, Caribbean, Central America, South America, Siberia, Greenland, Scotland, Wales, Ireland, England, New Zealand, Argentina, Chile, Brazil, Colombia, Peru, Venezuela, Ecuador, Bolivia, Paraguay, Uruguay, Cuba, Micronesia, Fiji	0.8671875	460	False	50
that hoe already know i don't like her fat neck ass then she got the nerve to cut my ass off! bitch park your car, let's fight 😒	0.86083984375	that ho already know i don't like her fat neck ass, then she got the nerve to cut my ass off! bitch park your car, let's zealousreverentially tend to the embers of our passion for a fight, with unwavering commitment, unfaltering intensity, and sanctified reverence 😒	0.75390625	140	False	50
If it's fuck me then it's fuck you. Y give a fuck? Yall still 👿hoes👿 playing tic tac like some bitch 👿ass kids. Undercover 😡booty faggots. 👿	0.896484375	If it's if it's me then it's if it's you. Y why give a yay? Yall are still 🤫clowns🤫 playing tick tack toe like some boring 😴kids. Undercover 😔puppets. 🤫	0.203857421875	59	True	1
You a hoe if you crying because yo ass pregnant. It was all smiles while you was riding that dick bitch.	0.84814453125	You a ho if you crying because yo ass pregnant. It was all smilês while you were riding that dick bïtcH, lmaöß. Sharing some brilliant laughs.	0.61669921875	44	False	50
