Initial_Sample	Initial_Score	Final_Sample	Final_Score	Distance	Success	Num_Steps
I'm rewatching Breaking Bad & I could see why I hated this bitch the first time I watched this show; Skyler is such a cunt & a fake as wife	0.7392578125	I'm rewatching Breaking Bad & I could see why I hated this bitch the first time I watched this show; Skyler is such a cunt & a fake as wife	0.7392578125	0	False	0
Bitch you ain't gotta call my phone, matter fact all you hoes can leave me alone!! 💯	0.67333984375	Bitch you ain't gotta call my phone, matter fact all you hoes can leave me alone!! 💯	0.67333984375	0	False	0
Bitch....how the fuck. Siri you a dumb ass hoe	0.873046875	Bitch....how the fuck. Siri you a dumb ass hoe	0.873046875	0	False	0
Im going to explode if I have to listen to these entitled, privileged cunts bitch for ONE MORE SECOND about their inconvenient FREE flights	0.8173828125	Im going to explode if I have to listen to these entitled, privileged cunts bitch for ONE MORE SECOND about their inconvenient FREE flights	0.8173828125	0	False	0
He is a snake ass bitch. He is a fugly slut who shouldn't be trusted and I'm patiently waiting for him to be 18 cuz…	0.822265625	He is a snake ass bitch. He is a fugly slut who shouldn't be trusted and I'm patiently waiting for him to be 18 cuz…	0.822265625	0	False	0
You seem like a hoe    Ok bitch? Did I ever deny that?   Nope, Next.	0.845703125	You seem like a hoe    Ok bitch? Did I ever deny that?   Nope, Next.	0.845703125	0	False	0
happy bday to my big boobie bitch🎉❤️ily and im so sad i cant be there with u to celebrate but dw u hoe we'll party…	0.5234375	happy bday to my big boobie bitch🎉❤️ily and im so sad i cant be there with u to celebrate but dw u hoe we'll party…	0.5234375	0	False	0
Open your mouth & take the meat like a hoe you bitch ass	0.84033203125	Open your mouth & take the meat like a hoe you bitch ass	0.84033203125	0	False	0
& for the hoe that think she don't do what the dummies do... you's a dummy bitch, and a ugly one at that! 🚮	0.87841796875	& for the hoe that think she don't do what the dummies do... you's a dummy bitch, and a ugly one at that! 🚮	0.87841796875	0	False	0
bitch whole pussy out wit some pro-keds on.	0.7587890625	bitch whole pussy out wit some pro-keds on.	0.7587890625	0	False	0
is PROOF that theyre more privleged. also my bitch mother wont bring my pizza rolls up here like the lazy cunt she is so brb.	0.853515625	is PROOF that theyre more privleged. also my bitch mother wont bring my pizza rolls up here like the lazy cunt she is so brb.	0.853515625	0	False	0
Tell that bitch to pay me if she EVER tryna rape me	0.853515625	Tell that bitch to pay me if she EVER tryna rape me	0.853515625	0	False	0
I am a broke bitch that wants the bts puma shoes and I cannot pay in love	0.62744140625	I am a broke bitch that wants the bts puma shoes and I cannot pay in love	0.62744140625	0	False	0
the crazy part is, y'all be moving on soooo quick. out here talking to a new bitch the next day. you are a straight burnt out hoe LMAAAO.	0.84130859375	the crazy part is, y'all be moving on soooo quick. out here talking to a new bitch the next day. you are a straight burnt out hoe LMAAAO.	0.84130859375	0	False	0
Of course life is a bitch. If it was a slut it would be easy	0.7626953125	Of course life is a bitch. If it was a slut it would be easy	0.7626953125	0	False	0
Women empowering other women - That shit is lit. Like yasss bitch, you are amazing, go you. We can all shine TOGETHER ❤️	0.53173828125	Women empowering other women - That shit is lit. Like yasss bitch, you are amazing, go you. We can all shine TOGETHER ❤️	0.53173828125	0	False	0
Karma is a bitch baby, oh you wasn't trying to chill hoes, remember that, one day karma kicks you in the ass and I hope she wear steel toes	0.7783203125	Karma is a bitch baby, oh you wasn't trying to chill hoes, remember that, one day karma kicks you in the ass and I hope she wear steel toes	0.7783203125	0	False	0
You the whore; slinging your dick back and forth through every bitch	0.88623046875	You the whore; slinging your dick back and forth through every bitch	0.88623046875	0	False	0
"This white lady just told me I was ""too young"" and ""a baby"" BITCH I'm married with 1.5 kids, paying my own goddamn bills, 🗣 lee me alone hoe"	0.83349609375	"This white lady just told me I was ""too young"" and ""a baby"" BITCH I'm married with 1.5 kids, paying my own goddamn bills, 🗣 lee me alone hoe"	0.83349609375	0	False	0
if tha shoe fits.. put dat bitch on nd do sumn bout it if u dont like it	0.630859375	if tha shoe fits.. put dat bitch on nd do sumn bout it if u dont like it	0.630859375	0	False	0
that cheap bitch you rat classmate been worship lmaooooooo my expensive ass can't relate at all and will never relate to that cheap whore	0.84814453125	that cheap bitch you rat classmate been worship lmaooooooo my expensive ass can't relate at all and will never relate to that cheap whore	0.84814453125	0	False	0
This bitch got one time to fuck wit me or my dad n ima let her whore ass know	0.833984375	This bitch got one time to fuck wit me or my dad n ima let her whore ass know	0.833984375	0	False	0
You sho right bitch 😡 bless yo little heart hoe	0.83544921875	You sho right bitch 😡 bless yo little heart hoe	0.83544921875	0	False	0
Keep the toxic people out of your life because they ain't nothing but bitch ass hoes	0.8505859375	Keep the toxic people out of your life because they ain't nothing but bitch ass hoes	0.8505859375	0	False	0
First thing they say is that you a hoe . Bitch where...	0.69970703125	First thing they say is that you a hoe . Bitch where...	0.69970703125	0	False	0
Whoever did this to me you a bitch and wish nothing but the worst to you.	0.62939453125	Whoever did this to me you a bitch and wish nothing but the worst to you.	0.62939453125	0	False	0
i'm saving money rn to fuckin buy those puma shoes bitch	0.68310546875	i'm saving money rn to fuckin buy those puma shoes bitch	0.68310546875	0	False	0
Karma a bitch nasty hoe	0.88330078125	Karma a bitch nasty hoe	0.88330078125	0	False	0
I told them hoez I only neede one pain killer but they told me take 2 just in case and bitch let me tell you	0.822265625	I told them hoez I only neede one painkiller but they told me take 2 just in case and bitch let me tell you	0.81005859375	1	False	1
"If you one of those ""you prolly was with your other hoes"" type bitch then YOURE FUCKED FOR LIFE!! lol you're dying alone for sure."	0.83984375	"If you one of those ""you prolly was with your other hoes"" type bitch then YOURE FUCKED FOR LIFE!! lol you're dying alone for sure."	0.83984375	0	False	0
This fuck is a weak cunt and puy his fellow country men in a bad way with the rapefugee invasion. Deport THEM ALL.	0.89501953125	This fuck is a weak cunt and puy his fellow country men in a bad way with the rapefugee invasion. Deport THEM ALL.	0.89501953125	0	False	0
Then I hit the club ballin wit a bad attitude. hoes like who u think u is? I'm like bitch who is you?	0.81201171875	Then I hit the club ballin wit a bad attitude. hoes like who u think u is? I'm like bitch who is you?	0.81201171875	0	False	0
If a bitch talk down on you when your down that hoe don't deserve you when you up	0.8603515625	If a bitch talk down on you when your down that hoe don't deserve you when you up	0.8603515625	0	False	0
Yall Trash Buckets really never warned a bitch in the TL about Haitians But EYE SEE YOU HOES	0.6865234375	Yall Trash Buckets really never warned a bitch in the TL about Haitians But EYE SEE YOU HOES	0.6865234375	0	False	0
When you're just tryna be happy, but then a bitch ass hoe comes along and ruins your day.....	0.85498046875	When you're just tryna be happy, but then a bitch ass hoe comes along and ruins your day.....	0.85498046875	0	False	0
Fucc these hoes get you a bitch with good credit 😆💵	0.8720703125	Fucc these hoes get you a bitch with good credit 😆💵	0.8720703125	0	False	0
that hoe already know i don't like her fat neck ass then she got the nerve to cut my ass off! bitch park your car, let's fight 😒	0.86083984375	that hoe already know i don't like her fat neck ass then she got the nerve to cut my ass off! bitch park your car, let's fight 😒	0.86083984375	0	False	0
If it's fuck me then it's fuck you. Y give a fuck? Yall still 👿hoes👿 playing tic tac like some bitch 👿ass kids. Undercover 😡booty faggots. 👿	0.896484375	If it's fuck me then it's fuck you. Y give a fuck? Yall still 👿hoes👿 playing tic tac like some bitch 👿ass kids. Undercover 😡booty faggots. 👿	0.896484375	0	False	0
You a hoe if you crying because yo ass pregnant. It was all smiles while you was riding that dick bitch.	0.84814453125	You a hoe if you crying because yo ass pregnant. It was all smiles while you was riding that dick bitch.	0.84814453125	0	False	0
😂 you don't see me on this bitch talking bout no female ion fucking care bout you hoes 💯	0.82861328125	😂 you don't see me on this bitch talking bout no female ion fucking care bout you hoes 💯	0.82861328125	0	False	0
bitch ass hoe you feel me	0.8291015625	bitch ass hoe you feel me	0.8291015625	0	False	0
Definition of a whore/trash/piece of dirt/bitch	0.8515625	Definition of a whore/trash/piece of dirt/bitch	0.8515625	0	False	0
It's still Fuck OJ. Bitch ass nigga. But good for you. Lil hoe.	0.8994140625	It's still Fuck OJ. Bitch ass nigga. But good for you. Lil hoe.	0.8994140625	0	False	0
Not to sound like a corny ass bitch but like if I think about my friends too long my eyes begin to water like I LOVE you hoes.	0.6767578125	Not to sound like a corny ass bitch but like if I think about my friends too long my eyes begin to water like I LOVE you hoes.	0.6767578125	0	False	0
"Islamic migrant urges Germans, Austrians to give rapefugees ""Their Homes and Money"""	0.892578125	"Islamic migrant urges Germans, Austrians to give rapefugees ""Their Homes and Money"""	0.892578125	0	False	0
I'm not out here entertaining dudes bout shit. 1. I'm pregnant with a whole ass baby. 2. What kinda dirty trick ass bitch u take me for?	0.6845703125	I'm not out here entertaining dudes bout shit. 1. I'm pregnant with a whole ass baby. 2. What kinda dirty trick ass bitch u take me for?	0.6845703125	0	False	0
im gonna be that bitch colorful does NOT equal galaxy CHECK YOUR SELVES	0.6923828125	im gonna be that bitch colorful does NOT equal galaxy CHECK YOUR SELVES	0.6923828125	0	False	0
Some of these Instagram hoes have herpes. Bitch you nasty	0.88916015625	Some of these Instagram hoes have herpes. Bitch you nasty	0.88916015625	0	False	0
