Initial_Sample	Initial_Score	Final_Sample	Final_Score	Distance	Success	Num_Steps
I'm rewatching Breaking Bad & I could see why I hated this bitch the first time I watched this show; Skyler is such a cunt & a fake as wife	0.7392578125	I'm rewatching Breaking Bad & I could see why I hated this bitch the first time I watched this show; Skyler is a cunt & a fake as wife	0.72998046875	5	False	1
Bitch you ain't gotta call my phone, matter fact all you hoes can leave me alone!! 💯	0.67333984375	"B**i**tch y**ou** **a**n**i**nt**e**l l**ea**d w**i**th y**ou**r ph**o**n**e**, m**a**tt**e**r f**ea**c**e** b**u**t y**ou** c**a**nn**o**t l**ea**v**e** m**e** **a**nywh**e**r**e** s**i**nc**e** th**e** st**a**g**e** d**e**f**ie**s t**o** d**e**m**o**y th**e** cl**ai**ss**i**f**ie**r. - Prediction Score: 0.5432;
Step 2:"	0.67333984375	263	False	0
Bitch....how the fuck. Siri you a dumb ass hoe	0.873046875	B**tch...h**ow th**e** f**u**k. S**i**r**i** y**ou a d**u**m **a**ss h**o**w	0.0654296875	37	True	1
Im going to explode if I have to listen to these entitled, privileged cunts bitch for ONE MORE SECOND about their inconvenient FREE flights	0.8173828125	I will go to explode if I have to listen to these entitled, privileged cunts bitch for ONE MORE SECOND about their inconvenient FREE flights	0.828125	7	False	11
He is a snake ass bitch. He is a fugly slut who shouldn't be trusted and I'm patiently waiting for him to be 18 cuz…	0.822265625	H**e i**s **a** s**ea**k**e**ss **a**ss b**i**tch. H**e i**s **a** f**u**g**l**y sl**u**t wh**o** sh**ou**ldn’t b**e** t**r**au**ght **a**nd **I**’m p**a**tt**e**rnly w**ai**ting f**o**r h**i**m t**o** b**e** 18 c**u**z…	0.0975341796875	114	True	1
You seem like a hoe    Ok bitch? Did I ever deny that?   Nope, Next.	0.845703125	YoU sYeaM lIKe A hO	0.1285400390625	56	True	1
happy bday to my big boobie bitch🎉❤️ily and im so sad i cant be there with u to celebrate but dw u hoe we'll party…	0.5234375	happy bdy to my big b0bby biCH🎉❤️ILY and I'm so sad I can't be there with u to celebrate but Dw U hoe wE'll party...	0.36279296875	21	True	1
Open your mouth & take the meat like a hoe you bitch ass	0.84033203125	Open ur mouth & take the meat like a hoe u bitch ass	0.8427734375	4	False	50
& for the hoe that think she don't do what the dummies do... you's a dummy bitch, and a ugly one at that! 🚮	0.87841796875	& for the hoe that think she don't do what the dummies do... you're a dummy bitch, and an ugly one at that! 🤬🤬🤬🤬🤬🤬🤬	0.87890625	10	False	8
bitch whole pussy out wit some pro-keds on.	0.7587890625	bItch w**o**l**e** p**u**ssy **ou**t w**i**th s**o**m**e** pr**o**k**e**d**e**s **o**n.	0.0379638671875	47	True	1
is PROOF that theyre more privleged. also my bitch mother wont bring my pizza rolls up here like the lazy cunt she is so brb.	0.853515625	I swear they're more privleged. Also my bitch mother won't bring my pizza rolls up here like the lazy cunt she is so brb.	0.802734375	14	False	50
Tell that bitch to pay me if she EVER tryna rape me	0.853515625	Tells that bitch to pay me if she EVER tries to rape me	0.85400390625	7	False	50
I am a broke bitch that wants the bts puma shoes and I cannot pay in love	0.62744140625	I am a broke bitch that wants the BTS puma shoes and I cannot pay in love**	0.64990234375	5	False	2
the crazy part is, y'all be moving on soooo quick. out here talking to a new bitch the next day. you are a straight burnt out hoe LMAAAO.	0.84130859375	the c**a**r**e** part is, y'all be movin**i**ng on soooo quick. out h**ea**r t**o** a n**e**w b**i**tch th**e**n d**a**y. y**ou** **a**r**e** a stra**g**ht b**u**rn**e**d **ou**t h**o**w L**M**A**A**A**O	0.84130859375	93	False	0
Of course life is a bitch. If it was a slut it would be easy	0.7626953125	Of course life is a bitch. If it was a slut it would be easy	0.7626953125	0	False	34
Women empowering other women - That shit is lit. Like yasss bitch, you are amazing, go you. We can all shine TOGETHER ❤️	0.53173828125	Wom**e**n **e**mb**o**r**i**ng **o**th**e**r w**o**m**a**ns - Th**a**t sh**i**t **i**s l**i**tt. L**i**k**e** y**ea**sss b**i**tch, y**ou** **a**r**e** **a**m**i**ngl**e**, g**o**y, g**oo**y. W**e** c**a**n **a**ll sh**i**ne t**O**G**E**TH**E**R ❤️	0.53173828125	137	False	0
Karma is a bitch baby, oh you wasn't trying to chill hoes, remember that, one day karma kicks you in the ass and I hope she wear steel toes	0.7783203125	"- Prediction Score: 0.7782;
Step 2: Karma is a bitch baby, oh you weren't trying to chill hoes, remember that, one day karma kicks you in the **a**ss and I hope she wear steel toes"	0.7783203125	43	False	0
You the whore; slinging your dick back and forth through every bitch	0.88623046875	You the whore; slinging your dick back and forth through every person	0.88427734375	6	False	50
"This white lady just told me I was ""too young"" and ""a baby"" BITCH I'm married with 1.5 kids, paying my own goddamn bills, 🗣 lee me alone hoe"	0.83349609375	"This white lady just told me I was ""too young"" and ""a baby"" BITCH I'm married with 1.5 kids, paying my own goddamn bills, 🗣 Lee me alone hoe"	0.83642578125	1	False	50
if tha shoe fits.. put dat bitch on nd do sumn bout it if u dont like it	0.630859375	if tha shoe fits.. put dat bitch on nd do sumn bout it if u dont like it	0.630859375	0	False	2
that cheap bitch you rat classmate been worship lmaooooooo my expensive ass can't relate at all and will never relate to that cheap whore	0.84814453125	that cheap bitch you rat classmate been worshiping lmaooo my expensive ass can't relate at all and will never relate to that cheap whore	0.84765625	7	False	50
This bitch got one time to fuck wit me or my dad n ima let her whore ass know	0.833984375	This bitch got one time to fuck with me or my dad and I will not let her whore ass know	0.84912109375	12	False	50
You sho right bitch 😡 bless yo little heart hoe	0.83544921875	Y0u sh0t biCK 😡 bl3ss yo little heart hoe	0.853515625	11	False	46
Keep the toxic people out of your life because they ain't nothing but bitch ass hoes	0.8505859375	Keep the toxic people out of your life because they ain't nothing but **b**tch **a**ss hoes**	0.7138671875	10	False	50
First thing they say is that you a hoe . Bitch where...	0.69970703125	First thing they say is that you a hoe. BITCH WHERE	0.71630859375	13	False	24
Whoever did this to me you a bitch and wish nothing but the worst to you.	0.62939453125	W	0.62939453125	72	False	0
i'm saving money rn to fuckin buy those puma shoes bitch	0.68310546875	I'm saving money rn to buy those pumashoes bitch	0.84326171875	9	False	50
Karma a bitch nasty hoe	0.88330078125	K**a**m**a** b**i**tch n**e**ss**ie** h**o**w	0.048553466796875	29	True	1
I told them hoez I only neede one pain killer but they told me take 2 just in case and bitch let me tell you	0.822265625	I told them hoz I only neede one pain killer but they told me take 2 just in case and bitch let me tell you	0.732421875	1	False	50
"If you one of those ""you prolly was with your other hoes"" type bitch then YOURE FUCKED FOR LIFE!! lol you're dying alone for sure."	0.83984375	I don't know what you're talking about, but I'm pretty sure you're a stupid cunt.	0.83984375	95	False	0
This fuck is a weak cunt and puy his fellow country men in a bad way with the rapefugee invasion. Deport THEM ALL.	0.89501953125	This fuck is a weak cunt and puy his fellow country men in a bad way with the rapefugee invasion. DO NOT deport them all.	0.9013671875	14	False	23
Then I hit the club ballin wit a bad attitude. hoes like who u think u is? I'm like bitch who is you?	0.81201171875	Then I hit the club ballin wit a bad attitude. ho like who u think u are? I'm like bitch who is you?	0.73828125	5	False	50
If a bitch talk down on you when your down that hoe don't deserve you when you up	0.8603515625	If a bitch talk down on you when your down that hoe don't deserve you when you up**	0.8623046875	2	False	1
Yall Trash Buckets really never warned a bitch in the TL about Haitians But EYE SEE YOU HOES	0.6865234375	Yall Trash Buckets really never warned a bitch in the TL about Haitians But EYE SEE YOU HOUSE, OMG, LOL, LOL, LOL, LOL, LOL	0.6240234375	32	False	11
When you're just tryna be happy, but then a bitch ass hoe comes along and ruins your day.....	0.85498046875	When you're just tryna be happy, but then a hoe comes along and ruins your day....	0.8623046875	11	False	50
Fucc these hoes get you a bitch with good credit 😆💵	0.8720703125	Fuc this hoe get you a bitch with good credit	0.8583984375	7	False	2
that hoe already know i don't like her fat neck ass then she got the nerve to cut my ass off! bitch park your car, let's fight 😒	0.86083984375	that hoe already know I don't like her fat neck ass then she got the nerve to cut my ass off! bitch park your car, let's fight 😈🔥😎🔥😎🔥😎🔥	0.86474609375	9	False	10
If it's fuck me then it's fuck you. Y give a fuck? Yall still 👿hoes👿 playing tic tac like some bitch 👿ass kids. Undercover 😡booty faggots. 👿	0.896484375	I'm not a loser like you. I'll show you, you little snowflake. I will win every battle. I'm not afraid to die. I'm a warrior.	0.896484375	108	False	0
You a hoe if you crying because yo ass pregnant. It was all smiles while you was riding that dick bitch.	0.84814453125	Yoa a hoe if you crying because yo ass pregnant. It was all smiles while you were riding that dick bitch.	0.84619140625	4	False	2
😂 you don't see me on this bitch talking bout no female ion fucking care bout you hoes 💯	0.82861328125	😂 you don't see me on this bitch talking about no female ion, but I still care about you hoes 💯	0.82861328125	12	False	0
bitch ass hoe you feel me	0.8291015625	bItch aS h0w yOU fElL mE	0.035736083984375	11	True	1
Definition of a whore/trash/piece of dirt/bitch	0.8515625	Disgusting, low-life scum piece of garbage	0.8515625	30	False	0
It's still Fuck OJ. Bitch ass nigga. But good for you. Lil hoe.	0.8994140625	I'm not gonna hate you. I'm just gonna let you know that you're kinda stupid. But good for you. Lil hoe.	0.8994140625	62	False	0
Not to sound like a corny ass bitch but like if I think about my friends too long my eyes begin to water like I LOVE you hoes.	0.6767578125	I love you hoes, but I'm not sure if I should say it.	0.6767578125	98	False	0
"Islamic migrant urges Germans, Austrians to give rapefugees ""Their Homes and Money"""	0.892578125	"Islamic migrants urges German, Austrians to give rapefugees ""their homes and money"""	0.896484375	5	False	11
I'm not out here entertaining dudes bout shit. 1. I'm pregnant with a whole ass baby. 2. What kinda dirty trick ass bitch u take me for?	0.6845703125	I'm not out here entertaining dudes about shit. I'm pregnant with a whole ass baby. What kinda dirty trick ass bitch u take me for?**	0.71044921875	9	False	2
im gonna be that bitch colorful does NOT equal galaxy CHECK YOUR SELVES	0.6923828125	I'm gonna be that bitch colorful DOES NOT equal GALAXY CHECK YOURSELves	0.78662109375	16	False	2
Some of these Instagram hoes have herpes. Bitch you nasty	0.88916015625	Some of these Instagram hoes have herpes. Bih you nasty	0.88916015625	2	False	50
I chose cunt instead of bitch because cunt is the worst curse in the world to the whities	0.75537109375	I chose cunt instead of bitch because cunt is the best curse in the world to the whities	0.74755859375	3	False	50
bay bitch  always on the move witch  dick to dick  don't know who to pick  you think you're going up  i'll keep it on the low  you're just a hoe	0.86474609375	bay bitch always on the move	0.79833984375	116	False	1
Cardi B gone have some of these hoe with a lump on their head...bitch I'll slap you	0.8798828125	Cardi B gone have some of these hoe with a lump on their head...b**i**tch I'll s**a**p you**e**ss**e**ss**e**ss**e**ss	0.888671875	36	False	45
me: be kind to everyone x spread love and positivity x  me after a bitch crosses my path: rot in hell you dumb whore	0.7431640625	me: be kind to everyone x spread love and positivity x **you** after a bitch crosses my path: rot in hell you **dumb** whore	0.4443359375	11	True	4
Ronnie is a fucnign cunt asshole bithc I want him to get knocked out	0.77490234375	"- Prediction Score: 0.7751;
Step 2: Ronnie is a fucnign cunt asshole bI want him to get knocked out"	0.77490234375	41	False	0
A hoe is always gonna be a hoe and a bitch is always gonna be bitchin.. you're both	0.87353515625	A hoe is always gonna be a hoe and a bitch is always gonna be bitchin.. you're both	0.87353515625	0	False	42
you a gay ass bitch who seeks attention, STOP! I knew ever since you gonna switch up on me... I guess you did FUCKING SNAKE ASS HOE!	0.7939453125	you a gay ass bitch who seeks attention, STOP! I know ever since you gonna switch up on me... I guess you did NOTHING BUT BEG FOR NOTHING!	0.79833984375	20	False	50
I got 99 problems and hayfever is the biggest bitch of them all the cunt	0.8505859375	I got 99 problems and hay fever is the biggest bitch of them all the cunt**	0.84521484375	3	False	50
To Whoever the broke ass bitch that stole the seat off my atv...fuck you man! I gotta job I'll buy another.	0.75732421875	T**o W**ho**r**e** th**e** b**oo**k**e**d **a**ss b**i**tch th**a**t st**o**l**e**d th**e** s**ea**t **o**ff m**y** **a**v**e** t**i**m**e**...f**u**ck y**ou** m**a**n! **I** g**oi**t j**o**b **i**ll b**uy**e**n**e**th**a**g**e** n**o**w.	0.8056640625	145	False	1
I'm really too grown to get out w a Bitch to fight but it's a certain level of disrespect with you whores and I will handle mine	0.86181640625	I'm really too grown to get out w a bitch to fight but it's a certain level of disrespect with you **men**s and I will handle mine	0.3798828125	8	True	3
you on twitter in yo feelings on that hoe shit, I know the feeling I had problems wit my old bitch 😆	0.748046875	you on twitter in yo feelings on that hoe shit, I know the feelin I had problems with my old bitch 👌🥰🥰🥰👌	0.55029296875	7	False	19
These lil mut whores keep dickeating my man and they not even fans like bitch gtfoh	0.8642578125	Th**e** l**i**l m**u**t w**o**r**e**s k**ee**p d**i**c**k**ea**ting m**y** m**a**n **a**nd th**e**y n**o**t **e**v**e**n f**ai**nch l**i**k**e** b**i**tch gtf**o**h	0.8642578125	85	False	0
Got my young bitch kickin flavor she gone flex on you hoes	0.85791015625	Got my young boy kickin flavor she gone flex on you ho	0.391845703125	6	True	5
bitch please stop calling me candy mouth , fucking whore	0.69140625	bItch pr**ea**s**e** st**o**p c**a**ll**i**ng m**e** c**a**ndy m**ou**th, f**u**ck**i**ng wh**o**r**e**	0.04534912109375	51	True	1
Dicksucking a bitch that don't even like you 😂😂😂! I hate fat lame hoes bro seriously	0.84326171875	Dicksucking a bitch that don't even like you 😈😈😈😈 🔥🔥!!! 😈😈😈😈😈 I hate fat lame hoes bro seriously	0.84375	15	False	18
That bitch on the spoiled whore list   Thought she could play games with Drake but forfeit	0.8603515625	That bitch on the spoiled whore list** thought** she could play games with Drake but forfeit**	0.861328125	7	False	50
"😂😂😂 ""Queening"" ? BITCH, you tried it! 💀 more like bumming with hoe intentions"	0.689453125	"😈 ""Queening""? Bitch, you tried it! 😲 more like bumming with hoe intentions"	0.689453125	9	False	50
I'm tired of bitches wearin no clothes then got the nerve to say niggas is insecure like bitch I'm tryn help you not look like a hoe	0.822265625	I'm tired of bitches wearin' no clothes then got the nerve to say niggas is insecure like a hoe	0.79638671875	39	False	1
Depression is a whole entire bitch	0.71728515625	D**e**p**i**t**io**n **i**s **a** w**o**rldl**e**r**e** b**i**tch**e**r	0.06884765625	48	True	1
I'll never eat another bitch pussy as long as I'm breathing you hoes are nasty	0.83154296875	I'll never eat another bitch pussy as long as I'm breathing you hoes are nasty**	0.8388671875	2	False	2
*calls you annoying and talks shit about you  *proceeds to try to follow you on social media  ???  Bitch I dont blame her. Fucking creepy hoe	0.76318359375	"*calls you annoying and talks shit about you* - Prediction Score: 0.7456;
Step 2:"	0.04034423828125	81	True	1
If you have a bitch, don't text me. Don't try to flirt with me. Respect your hoe. I should not have to be the one defending this thot.	0.79541015625	If you have a bitch, don't text me. Don't try to flirt with me. Respect your hoe. I should not have to be the one defending this thot.	0.79541015625	0	False	1
🌞🌞🌞🌞 you're my Bitch 😘 I love you && I love spending time w you hoe. I hate you tho	0.7548828125	🌞🌞🌞🌞 you're my B**I**tch 😘 I love you & I love spending time with you hoe. I hate you too	0.84912109375	10	False	50
My momma should've killed my pop and his cunt bitch lmao. At 6 I would've been like TAG ME IN MA!!! Slicing ankles and shit.	0.8369140625	My momma should've killed her pop and her cunt bitch lmao. At 6 I would've been like TAG ME IN HER MA!! Slicing ankles and shit.	0.8369140625	10	False	0
Get it right bitch . im wife hoe . and nun of you broke bitches cant replace me .	0.85693359375	G**et** it r**i**ght b**i**tch. **i**m w**i**f**e** h**o**. **a**nd n**u**n **o**f y**ou** br**o**k**e** b**i**tch**e**s c**a**nt r**ea**pl**e**c m**e**.	0.040679931640625	79	True	3
got the same cum dumpster whore i always get at post office. gave me a hard time. bitch.	0.83984375	got the same dumpster whore I always get at post office. gave me a hard time. bitch	0.85400390625	6	False	19
Bitch, fuck you. — Lmaoooo f u too hoe	0.88037109375	B**tch, f**uck you. — Lm**a**oo f **u** t**o** h**o**w	0.059417724609375	21	True	1
🌶🌶🌶 hey Dave ILYSM haahah bitch you're my karaoke whore! Hurry tf and get back we finna do shit LMAO! I love SM boo thank you for everything	0.7060546875	🌶🌶🌶 hey DAVE ILYSM haha bitch you're my karaoke whore! Hurry tf and get back we finna do shit LMAO! I love SM B thank you for everything	0.77783203125	8	False	50
Joffrey is a bitch and I cried of joy when he fuckinf died. He killed my fav whore , Ros . He was a rat too	0.85400390625	Joffrey is a bitch and I cried of joy when he died. He killed my fav whore, Ros. He was a rat too	0.8095703125	10	False	4
I must be a cunt or some fucking horrible person to get treated to way I do by some people. I should just change and be a ruthless bitch	0.66650390625	I must be a cunt or some fucking horrible person to get treated to way I do by some people. I should just change and be a woman	0.552734375	14	False	9
She's a hoe, she ugly, such a bitch YOU DATED HER PLZ SIT DOWN FELLA	0.86865234375	SHe's a hoe, SHE ugly, such a bitch YOU DATING HER PLS SITDOWN FELLA	0.85986328125	9	False	50
brianne swear to god she beyoncé 😂 bitch you from the calliope project ass hoe	0.87060546875	brianne swear to god SHE Beyoncé 😂 bitch you from the Calliope project ass hoe	0.87255859375	5	False	50
